metric,knn,logistic_regression
accuracy,0.7849538679914834,0.8048261178140526
precision,0.5988857938718662,0.6551724137931034
recall,0.5748663101604278,0.5588235294117647
f1,0.5866302864938608,0.6031746031746031
roc_auc,0.8272223513911494,0.8411273863959285
