k,mean_cv_roc_auc
3,0.7428834167544014
5,0.7825102337065658
7,0.7986117438585306
9,0.8072033426607776
11,0.8134471183651952
13,0.8198210466239166
15,0.8233863543923592
17,0.8255805734751774
19,0.8273413002558477
21,0.8287203829028881
23,0.8300314013666876
25,0.83213676864533
